model,theta,chi2,posterior_weight
LCDM,0.29998909700331794,2114.395413955244,7.222355953617292e-05
LCDM,0.30015344649066544,2114.3362820019056,7.43908000317506e-05
LCDM,0.30031779597801295,2114.2773785058016,7.66143217095461e-05
LCDM,0.30048214546536045,2114.2187033549158,7.889529567638234e-05
LCDM,0.30064649495270795,2114.160256437332,8.123490838410702e-05
LCDM,0.30081084444005546,2114.102037641166,8.363436155890871e-05
LCDM,0.30097519392740296,2114.044046854638,8.609487211470919e-05
LCDM,0.30113954341475047,2113.986283966023,8.861767206078358e-05
LCDM,0.30130389290209797,2113.9287488636533,9.120400839664415e-05
LCDM,0.3014682423894455,2113.87144143595,9.385514299431555e-05
LCDM,0.301632591876793,2113.814361571395,9.657235247215676e-05
LCDM,0.3017969413641405,2113.7575091585413,9.935692805516161e-05
LCDM,0.301961290851488,2113.700884086002,0.00010221017542487044
LCDM,0.3021256403388355,2113.6444862424833,0.00010513341455477306
LCDM,0.302289989826183,2113.5883155167235,0.00010812797953840417
LCDM,0.3024543393135305,2113.532371797564,0.00011119521839830504
LCDM,0.302618688800878,2113.4766549738874,0.00011433649288914489
LCDM,0.3027830382882255,2113.421164934669,0.00011755317828206124
LCDM,0.302947387775573,2113.365901568944,0.00012084666314035489
LCDM,0.3031117372629205,2113.310864765805,0.0001242183490805856
LCDM,0.303276086750268,2113.2560544144308,0.0001276696505180263
LCDM,0.3034404362376155,2113.2014704040494,0.0001312019944026254
LCDM,0.303604785724963,2113.147112623975,0.00013481681993650167
LCDM,0.3037691352123105,2113.0929809635927,0.00013851557828058013
LCDM,0.30393348469965803,2113.0390753123247,0.00014229973224864177
LCDM,0.30409783418700553,2112.9853955596964,0.00014617075597993245
LCDM,0.30426218367435304,2112.9319415953028,0.00015013013460407517
LCDM,0.30442653316170054,2112.8787133087635,0.00015417936389252712
LCDM,0.30459088264904804,2112.8257105898138,0.00015831994988499417
LCDM,0.30475523213639555,2112.7729333282373,0.00016255340851256624
LCDM,0.30491958162374305,2112.7203814138866,0.0001668812651993258
LCDM,0.30508393111109056,2112.668054736669,0.00017130505445134593
LCDM,0.3052482805984381,2112.6159531865956,0.00017582631942507666
LCDM,0.30541263008578556,2112.5640766537053,0.00018044661149068135
LCDM,0.3055769795731331,2112.512425028129,0.00018516748976811837
LCDM,0.30574132906048057,2112.4609982000716,0.00018999052065432883
LCDM,0.30590567854782813,2112.4097960597724,0.00019491727733691934
LCDM,0.3060700280351756,2112.3588184975683,0.00019994933928264424
LCDM,0.30623437752252314,2112.308065403854,0.0002050882917193946
LCDM,0.3063987270098706,2112.2575366690876,0.000210335725098115
LCDM,0.30656307649721815,2112.2072321838145,0.00021569323453675025
LCDM,0.3067274259845656,2112.157151838609,0.00022116241925690793
LCDM,0.30689177547191315,2112.107295524154,0.0002267448819897434
LCDM,0.3070561249592606,2112.0576631311746,0.00023244222838144835
LCDM,0.30722047444660816,2112.0082545504793,0.00023825606637126415
LCDM,0.3073848239339556,2111.9590696729206,0.0002441880055621907
LCDM,0.30754917342130317,2111.910108389446,0.0002502396565655161
LCDM,0.3077135229086506,2111.86137059104,0.0002564126303422741
LCDM,0.3078778723959982,2111.8128561687886,0.00026270853751381997
LCDM,0.3080422218833456,2111.7645650138165,0.0002691289876723919
LCDM,0.3082065713706932,2111.71649701733,0.00027567558866295943
LCDM,0.30837092085804063,2111.668652070593,0.00028234994585750353
LCDM,0.3085352703453882,2111.621030064949,0.00028915366140815535
