scenario,galaxy,group,matched_candidate,N_points,delta_profile_objective_plamb_minus_rar,delta_data_objective_plamb_minus_rar,rar_profile_objective,plamb_profile_objective,rar_distance_pull,plamb_distance_pull,rar_disk_ml_multiplier,plamb_disk_ml_multiplier,rar_bulge_ml_multiplier,plamb_bulge_ml_multiplier,rar_delta_inc_deg,plamb_delta_inc_deg,rar_gas_multiplier,plamb_gas_multiplier,both_optimisers_succeeded
distance_student_t3,NGC3521,matched_control,NGC2903,41,-0.28493188396877045,-0.7887819457701237,18.21890038160444,17.933968497635668,0.557067087918322,0.6151496018386067,0.7429577064175139,0.712737027108912,0.7429577064175139,0.712737027108912,0.0,0.0,1.0,1.0,True
distance_student_t3,NGC4559,matched_control,NGC2903,32,-0.0029683505541822086,-0.025469204102805065,11.334107394950221,11.33113904439604,-0.9512796482004869,-0.9530261955553399,0.932180338310759,0.9247183916832743,0.932180338310759,0.9247183916832743,0.0,0.0,1.0,1.0,True
distance_student_t3,NGC5033,matched_control,NGC5985,22,5.600795661937283,5.600778103638731,97.18447376147908,102.78526942341637,0.11673253938677937,0.1166943791447792,1.0035501024039564,0.996213118002114,1.0035501024039564,0.996213118002114,0.0,0.0,1.0,1.0,True
distance_student_t3,NGC5985,candidate,NGC5985,33,-3.6605304577777247,-3.722756192096938,424.3777343557721,420.71720389799435,-0.9793398308165726,-1.0105333406217196,2.718281828459045,2.718281828459045,2.718281828459045,2.718281828459045,0.0,0.0,1.0,1.0,True
distance_student_t3,NGC6195,matched_control,UGC09133,23,-1.5221447482185653,-1.4094320198283867,93.59598944303318,92.07384469481461,-6.0,-6.0,1.769613265877676,1.758666962859178,1.769613265877676,1.758666962859178,0.0,0.0,1.0,1.0,True
distance_student_t3,NGC6674,matched_control,UGC02487,15,-2.382664187397282,-2.8452258891713456,67.07418507508054,64.69152088768325,-1.5663582764153132,-1.638287935154847,2.0229405162199314,2.049514540052513,2.0229405162199314,2.049514540052513,0.0,0.0,1.0,1.0,True
distance_student_t3,UGC02487,candidate,UGC02487,17,0.5506429981335756,0.6142417651662697,39.004371364717265,39.55501436285084,-0.30654155367734437,-0.3217527859946794,1.898396022898197,1.8913609079433218,1.898396022898197,1.8913609079433218,0.0,0.0,1.0,1.0,True
distance_student_t3,UGC02885,matched_control,UGC02487,19,-0.5653187830058144,-0.5248979564175045,41.69994238524957,41.13462360224376,-1.5965778602329026,-1.6083987711421497,1.4419064186647645,1.433536146501765,1.4419064186647645,1.433536146501765,0.0,0.0,1.0,1.0,True
distance_student_t3,UGC02916,matched_control,UGC06787,43,2.042497515294741,1.732116720153499,226.05747557411823,228.09997308941297,0.590930861002977,0.7017399085748109,0.782324149525625,0.7687075921360396,0.782324149525625,0.7687075921360396,0.0,0.0,1.0,1.0,True
distance_student_t3,UGC03205,matched_control,NGC5985,48,-0.9533882966917986,-0.5728132350626538,176.04843205179498,175.09504375510318,-1.3999886117978446,-1.3710502703541987,1.8006221747181836,1.770264753262323,1.8006221747181836,1.770264753262323,0.0,0.0,1.0,1.0,True
