Galaxy,scenario,N_points,rar_success,plamb_success,rar_profile_objective,plamb_profile_objective,delta_objective_plamb_minus_rar,delta_objective_per_point,signed_log1p_delta_per_point
NGC6015,baseline,44,True,True,165.2760490421134,162.68493288171842,-2.5911161603949893,-0.058889003645340665,-0.05722024870428905
NGC6503,baseline,31,True,True,35.50001646349655,35.12143796047358,-0.3785785030229718,-0.012212209774934575,-0.012138242336167263
NGC6674,baseline,15,True,True,67.1205090394316,64.79808694352622,-2.322422095905381,-0.1548281397270254,-0.14395153612928055
NGC6946,baseline,58,True,True,33.92530980113949,34.33102528354882,0.4057154824093274,0.006995094524298749,0.006970742348491282
NGC7331,baseline,36,True,True,40.83013166496442,40.63616191998642,-0.19396974497799846,-0.005388048471611068,-0.0053735848689124965
NGC7814,baseline,18,True,True,102.31085453716256,106.97937087493005,4.6685163377675,0.2593620187648611,0.23060525841927892
UGC00191,baseline,9,True,True,14.239741003292043,14.027119425031781,-0.2126215782602614,-0.02362461980669571,-0.023349877189605038
UGC00634,baseline,4,True,True,1.2169667566122053,1.2940322439028984,0.07706548729069307,0.019266371822673267,0.019083125205513703
UGC00731,baseline,12,True,True,62.66037661539051,60.90959746372725,-1.7507791516632594,-0.14589826263860495,-0.1361888382946567
UGC00891,baseline,5,True,True,8.930020303815509,8.88264355650064,-0.047376747314869405,-0.00947534946297388,-0.009430739911917754
UGC01230,baseline,11,True,True,26.48710611447114,26.609317428266092,0.12221131379495276,0.011110119435904797,0.011048855408427437
UGC01281,baseline,25,True,True,6.136269958478524,6.359448457867637,0.22317849938911305,0.008927139975564522,0.008887528630958366
UGC02023,baseline,5,True,True,4.301019808877529,4.378349297163176,0.07732948828564723,0.015465897657129446,0.01534751964983081
UGC02259,baseline,8,True,True,21.713621237326787,21.52930524922289,-0.18431598810389715,-0.023039498512987144,-0.022778096696252532
UGC02916,baseline,43,True,True,225.96507865934592,227.98358012919817,2.0185014698522536,0.04694189464772683,0.04587343335480954
UGC03546,baseline,30,True,True,13.068192072944669,13.642750484076016,0.5745584111313473,0.019151947037711576,0.0189708569983227
UGC04278,baseline,25,True,True,38.04522632280097,37.36837293533304,-0.6768533874679292,-0.027074135498717167,-0.026714114805287945
UGC04325,baseline,8,True,True,31.08112695173836,30.716907282888243,-0.36421966885011514,-0.04552745860626439,-0.04452150315359054
UGC04499,baseline,9,True,True,5.734209151544949,5.76213060280777,0.027921451262820973,0.003102383473646775,0.0030975810121923446
UGC05005,baseline,11,True,True,4.618833090138776,4.787846679028572,0.16901358888979612,0.015364871717254192,0.015248027420855265
UGC05253,baseline,73,True,True,138.19968787162887,140.1167540214244,1.917066149795545,0.026261180134185547,0.02592227588758194
UGC05414,baseline,6,True,True,2.9341133865844102,3.037481426988176,0.10336804040376579,0.017228006733960965,0.017081287350344868
UGC05716,baseline,12,True,True,13.426196086364023,13.215118708049648,-0.2110773783143749,-0.017589781526197907,-0.017436871814109738
UGC05721,baseline,23,True,True,28.314237394161793,28.535660212004423,0.22142281784262963,0.009627079036636071,0.009581033994878717
UGC05750,baseline,11,True,True,8.392427095868838,8.58380686485448,0.19137976898564268,0.017398160816876607,0.01724854567624868
UGC05764,baseline,10,True,True,29.334472454611205,28.982497983614945,-0.3519744709962609,-0.03519744709962609,-0.034592178667588555
UGC05829,baseline,11,True,True,4.259746733936057,3.9422341359342212,-0.3175125980018354,-0.02886478163653049,-0.028456040672510736
UGC05918,baseline,8,True,True,3.4960678397526768,3.4152171050288067,-0.08085073472387005,-0.010106341840483757,-0.01005561426164954
UGC05986,baseline,15,True,True,23.222081044856044,23.520931777344344,0.29885073248830096,0.01992338216588673,0.019727508951227022
UGC05999,baseline,5,True,True,8.979095137170884,8.940013906360056,-0.039081230810827705,-0.00781624616216554,-0.007785857557295221
UGC06399,baseline,9,True,True,3.0275766681599574,2.972245176227249,-0.05533149193270859,-0.006147943548078732,-0.006129122046104809
UGC06446,baseline,17,True,True,16.37707344683159,15.962999618507943,-0.41407382832364803,-0.024357284019038118,-0.024065375937157775
UGC06628,baseline,7,True,True,15.939807364469765,16.00460019308553,0.06479282861576507,0.009256118373680724,0.009213543029966995
UGC06667,baseline,9,True,True,33.78978664997356,32.94632369263581,-0.8434629573377492,-0.09371810637086103,-0.08958299837503081
UGC06786,baseline,45,True,True,51.2610911762212,51.40356982007157,0.14247864385036735,0.003166192085563719,0.003161190254460094
